Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00,TotalDailyEnergy_GWh,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths
01/08/2017,1183,1184,1189,1161,1130,1131,1128,1131,1113,1124,1135,1155,1273,1249,1318,1426,1492,1606,1594,1632,1650,1677,1694,1673,1672,1670,1651,1612,1631,1622,1657,1617,1598,1583,1498,1437,1366,1291,1271,1241,1220,1204,1196,1201,1210,1202,1244,1249,66.191,0,0,0,0
02/08/2017,1211,1214,1208,1155,1146,1124,1136,1112,1129,1124,1170,1154,1289,1269,1291,1426,1482,1556,1641,1689,1670,1696,1642,1633,1669,1681,1679,1605,1635,1620,1636,1618,1621,1550,1506,1466,1402,1340,1299,1265,1253,1228,1206,1239,1204,1153,1259,1233,66.534,0,0,0,0
03/08/2017,1204,1202,1175,1171,1155,1173,1147,1174,1156,1176,1154,1165,1273,1258,1349,1443,1467,1533,1591,1648,1647,1686,1690,1648,1630,1670,1611,1586,1607,1553,1560,1565,1525,1518,1445,1392,1326,1281,1257,1241,1190,1194,1206,1188,1177,1131,1208,1209,65.555,0,0,0,0
04/08/2017,1144,1185,1152,1146,1121,1148,1142,1129,1099,1119,1126,1153,1205,1214,1277,1406,1552,1629,1673,1724,1712,1709,1660,1626,1650,1704,1655,1590,1585,1569,1587,1554,1547,1467,1394,1350,1305,1280,1253,1231,1204,1192,1164,1170,1148,1124,1203,1191,65.168,0,0,0,0
05/08/2017,1164,1163,1140,1136,1123,1124,1132,1109,1112,1102,1101,1140,1220,1181,1269,1252,1188,1237,1269,1273,1260,1230,1265,1222,1254,1290,1230,1222,1255,1228,1243,1218,1203,1193,1184,1167,1154,1144,1140,1118,1103,1100,1073,1081,1101,1059,1177,1187,56.536,0,0,0,0
06/08/2017,1192,1184,1149,1154,1152,1126,1126,1131,1121,1119,1130,1143,1237,1181,1249,1248,1204,1268,1284,1283,1261,1247,1280,1203,1182,1209,1194,1170,1172,1126,1138,1121,1144,1108,1116,1109,1091,1087,1065,1089,1065,1097,1070,1117,1086,1071,1173,1168,55.64,0,0,0,0
07/08/2017,1177,1135,1153,1135,1143,1097,1097,1114,1099,1115,1113,1113,1226,1181,1245,1292,1209,1264,1270,1285,1253,1276,1286,1270,1282,1295,1284,1261,1289,1309,1310,1245,1236,1213,1187,1179,1156,1159,1147,1117,1101,1099,1070,1128,1114,1093,1153,1156,57.131,0,0,0,0
08/08/2017,1141,1174,1179,1136,1120,1090,1097,1089,1094,1112,1110,1143,1260,1235,1301,1398,1427,1530,1563,1589,1596,1643,1631,1553,1545,1552,1553,1559,1548,1542,1558,1542,1476,1472,1460,1354,1293,1286,1260,1249,1208,1199,1189,1198,1175,1155,1233,1211,64.028,0,0,0,0
09/08/2017,1227,1202,1162,1135,1146,1122,1103,1113,1098,1111,1135,1117,1237,1200,1315,1439,1466,1584,1601,1633,1622,1672,1691,1651,1635,1629,1647,1646,1636,1581,1634,1615,1638,1553,1481,1430,1386,1328,1287,1267,1238,1214,1213,1242,1225,1196,1225,1200,65.928,0,0,0,0
10/08/2017,1214,1201,1173,1148,1164,1140,1144,1127,1121,1141,1140,1142,1225,1258,1327,1408,1468,1527,1542,1534,1551,1599,1600,1596,1582,1636,1602,1581,1598,1601,1582,1537,1539,1497,1446,1397,1332,1276,1253,1234,1213,1182,1236,1206,1197,1152,1228,1212,64.809,0,0,0,0
11/08/2017,1182,1176,1160,1146,1120,1144,1119,1166,1145,1168,1164,1184,1339,1311,1347,1451,1518,1607,1622,1684,1691,1729,1716,1699,1674,1659,1732,1664,1639,1620,1636,1581,1575,1495,1446,1397,1343,1315,1260,1207,1193,1165,1186,1171,1173,1131,1204,1202,66.256,0,0,0,0
12/08/2017,1159,1159,1137,1137,1120,1135,1133,1140,1117,1148,1128,1140,1235,1197,1230,1269,1226,1249,1292,1250,1328,1327,1312,1298,1302,1284,1269,1254,1277,1267,1243,1239,1248,1215,1209,1196,1178,1160,1138,1145,1098,1094,1120,1120,1125,1082,1159,1180,57.468,0,0,0,0
13/08/2017,1137,1146,1131,1111,1132,1108,1108,1132,1117,1127,1127,1135,1182,1159,1200,1238,1180,1228,1244,1263,1251,1263,1286,1275,1241,1276,1259,1258,1277,1257,1215,1190,1192,1171,1169,1142,1111,1113,1112,1096,1065,1090,1120,1096,1106,1077,1179,1161,56.253,0,0,0,0
14/08/2017,1195,1184,1165,1146,1152,1139,1135,1142,1137,1135,1151,1172,1283,1289,1341,1450,1487,1627,1660,1682,1682,1677,1723,1694,1670,1672,1626,1663,1634,1645,1578,1523,1536,1525,1466,1408,1347,1279,1244,1209,1178,1169,1170,1217,1156,1144,1207,1178,65.892,0,0,0,0
15/08/2017,1144,1210,1153,1151,1127,1148,1110,1090,1095,1086,1102,1160,1256,1180,1302,1401,1448,1581,1600,1603,1642,1679,1654,1688,1673,1697,1658,1638,1696,1666,1639,1624,1588,1565,1523,1469,1382,1349,1311,1274,1251,1227,1288,1273,1257,1216,1249,1221,66.344,0,0,0,0
16/08/2017,1211,1212,1206,1153,1185,1142,1157,1152,1164,1152,1180,1160,1300,1277,1337,1423,1501,1608,1633,1669,1672,1708,1759,1747,1796,1753,1717,1779,1775,1744,1733,1746,1712,1633,1557,1454,1433,1371,1293,1252,1228,1207,1218,1244,1217,1180,1230,1191,68.171,0,0,0,0
17/08/2017,1207,1165,1145,1137,1141,1148,1119,1127,1137,1130,1138,1167,1252,1252,1282,1398,1457,1596,1591,1650,1707,1746,1708,1729,1766,1744,1738,1694,1654,1672,1654,1588,1558,1501,1464,1416,1365,1318,1263,1239,1223,1176,1190,1208,1153,1136,1208,1209,66.266,0,0,0,0
18/08/2017,1183,1181,1162,1154,1170,1151,1148,1164,1137,1145,1156,1151,1255,1212,1306,1403,1446,1551,1543,1534,1555,1626,1659,1602,1572,1561,1560,1527,1507,1492,1462,1468,1450,1415,1352,1309,1265,1255,1242,1246,1204,1172,1191,1201,1165,1147,1218,1237,63.812,0,0,0,0
