Date,TotalDailyEnergy_GWh,maxtp,mintp,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths
01/01/2018,61.204,9.5,3.9,0,0,0,0
02/01/2018,69.941,12.3,4,0,0,0,0
03/01/2018,70.194,9.8,4.7,0,0,0,0
04/01/2018,69.871,12.1,4.4,0,0,0,0
05/01/2018,69.051,8.5,3.1,0,0,0,0
06/01/2018,61.229,5.9,0.3,0,0,0,0
07/01/2018,61.063,4.8,-2.8,0,0,0,0
08/01/2018,72.26,5.8,-4.4,0,0,0,0
09/01/2018,72.469,9.3,2.9,0,0,0,0
10/01/2018,71.918,7.5,1.8,0,0,0,0
11/01/2018,68.253,5.3,2.4,0,0,0,0
12/01/2018,70.348,10.3,3.2,0,0,0,0
13/01/2018,60.924,10.3,3.8,0,0,0,0
14/01/2018,60.987,10.2,3.1,0,0,0,0
15/01/2018,70.69,10.1,4.6,0,0,0,0
16/01/2018,71.804,6.4,1,0,0,0,0
17/01/2018,73.466,11.2,2.8,0,0,0,0
18/01/2018,74.786,7.4,2.3,0,0,0,0
19/01/2018,71.41,5.6,1.9,0,0,0,0
20/01/2018,64.106,10.6,3.6,0,0,0,0
21/01/2018,64.477,12.6,5.2,0,0,0,0
22/01/2018,70.746,11.1,7.4,0,0,0,0
23/01/2018,69.872,13.3,8.9,0,0,0,0
24/01/2018,70.707,11.3,5.2,0,0,0,0
25/01/2018,71.092,9.6,4.5,0,0,0,0
26/01/2018,69.492,8.1,3.1,0,0,0,0
27/01/2018,62.68,11.7,8.1,0,0,0,0
28/01/2018,62.23,12.3,10.5,0,0,0,0
29/01/2018,70.751,12,3.7,0,0,0,0
30/01/2018,71.64,9.2,4,0,0,0,0
31/01/2018,71.199,9,2.8,0,0,0,0
01/02/2018,72.753,7.8,2.5,0,0,0,0
02/02/2018,71.428,7,1.3,0,0,0,0
03/02/2018,55.809,7.5,2.5,0,0,0,0
04/02/2018,64.146,8.3,-0.1,0,0,0,0
05/02/2018,72.468,5.4,1.7,0,0,0,0
06/02/2018,72.17,5.9,-0.8,0,0,0,0
07/02/2018,71.889,7.4,-0.2,0,0,0,0
08/02/2018,69.792,8.6,2.9,0,0,0,0
09/02/2018,69.02,6.6,0.7,0,0,0,0
10/02/2018,59.901,10.8,3.3,0,0,0,0
11/02/2018,60.12,4.8,0.2,0,0,0,0
12/02/2018,69.993,6.8,1.2,0,0,0,0
13/02/2018,70.268,6.5,1,0,0,0,0
14/02/2018,70.695,10.1,3.7,0,0,0,0
15/02/2018,70.517,6.3,2.1,0,0,0,0
16/02/2018,68.662,7.7,2.3,0,0,0,0
17/02/2018,59.358,9.5,2.2,0,0,0,0
18/02/2018,59.511,11.2,5.1,0,0,0,0
19/02/2018,69.101,13.6,3.9,0,0,0,0
20/02/2018,69.202,10.3,0.9,0,0,0,0
21/02/2018,69.282,9.5,-1.4,0,0,0,0
22/02/2018,69.995,8.9,3.7,0,0,0,0
23/02/2018,68.938,8.2,4.3,0,0,0,0
24/02/2018,59.99,6.9,-0.2,0,0,0,0
25/02/2018,59.79,7.2,0,0,0,0,0
26/02/2018,70.397,4.2,1,0,0,0,0
27/02/2018,71.151,5.4,-3.8,0,0,0,0
28/02/2018,71.398,0.8,-3.9,0,0,0,0
01/03/2018,66.771,0,-5,0,0,0,0
02/03/2018,64.335,0.9,-0.8,0,0,0,0
03/03/2018,61.773,3.5,-0.7,0,0,0,0
04/03/2018,61.399,3.9,1.7,0,0,0,0
