Date,TotalDailyEnergy_GWh,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths
01/08/2017,66.191,0,0,0,0
02/08/2017,66.534,0,0,0,0
03/08/2017,65.555,0,0,0,0
04/08/2017,65.168,0,0,0,0
05/08/2017,56.536,0,0,0,0
06/08/2017,55.64,0,0,0,0
07/08/2017,57.131,0,0,0,0
08/08/2017,64.028,0,0,0,0
09/08/2017,65.928,0,0,0,0
10/08/2017,64.809,0,0,0,0
11/08/2017,66.256,0,0,0,0
12/08/2017,57.468,0,0,0,0
13/08/2017,56.253,0,0,0,0
14/08/2017,65.892,0,0,0,0
15/08/2017,66.344,0,0,0,0
16/08/2017,68.171,0,0,0,0
17/08/2017,66.266,0,0,0,0
18/08/2017,63.812,0,0,0,0
19/08/2017,49.812,0,0,0,0
20/08/2017,57.45,0,0,0,0
21/08/2017,72.07,0,0,0,0
22/08/2017,70.015,0,0,0,0
23/08/2017,67.096,0,0,0,0
24/08/2017,67.038,0,0,0,0
25/08/2017,67.82,0,0,0,0
26/08/2017,60.437,0,0,0,0
27/08/2017,60.724,0,0,0,0
28/08/2017,68.496,0,0,0,0
29/08/2017,66.323,0,0,0,0
30/08/2017,66.541,0,0,0,0
31/08/2017,66.684,0,0,0,0
01/09/2017,66.6,0,0,0,0
02/09/2017,57.227,0,0,0,0
03/09/2017,62.765,0,0,0,0
04/09/2017,69.36,0,0,0,0
05/09/2017,67.295,0,0,0,0
06/09/2017,68.852,0,0,0,0
07/09/2017,67.359,0,0,0,0
08/09/2017,65.781,0,0,0,0
09/09/2017,57.471,0,0,0,0
10/09/2017,56.402,0,0,0,0
11/09/2017,66.523,0,0,0,0
12/09/2017,66.346,0,0,0,0
13/09/2017,67.614,0,0,0,0
14/09/2017,68.256,0,0,0,0
15/09/2017,65.715,0,0,0,0
16/09/2017,57.495,0,0,0,0
17/09/2017,57.257,0,0,0,0
18/09/2017,67.665,0,0,0,0
19/09/2017,67.523,0,0,0,0
20/09/2017,67.967,0,0,0,0
21/09/2017,67.115,0,0,0,0
22/09/2017,67.184,0,0,0,0
23/09/2017,53.161,0,0,0,0
24/09/2017,58.637,0,0,0,0
25/09/2017,67.718,0,0,0,0
26/09/2017,69.257,0,0,0,0
27/09/2017,68.714,0,0,0,0
28/09/2017,69.394,0,0,0,0
29/09/2017,65.989,0,0,0,0
30/09/2017,57.519,0,0,0,0
01/10/2017,57.578,0,0,0,0
02/10/2017,67.223,0,0,0,0
03/10/2017,68.217,0,0,0,0
04/10/2017,68.778,0,0,0,0
05/10/2017,68.31,0,0,0,0
06/10/2017,67.236,0,0,0,0
07/10/2017,58.171,0,0,0,0
08/10/2017,57.801,0,0,0,0
09/10/2017,68.358,0,0,0,0
10/10/2017,68.708,0,0,0,0
11/10/2017,68.963,0,0,0,0
12/10/2017,69.332,0,0,0,0
13/10/2017,69.65,0,0,0,0
14/10/2017,60.727,0,0,0,0
15/10/2017,58.829,0,0,0,0
16/10/2017,67.873,0,0,0,0
17/10/2017,72.606,0,0,0,0
18/10/2017,70.476,0,0,0,0
19/10/2017,69.587,0,0,0,0
20/10/2017,68.332,0,0,0,0
21/10/2017,54.403,0,0,0,0
22/10/2017,59.832,0,0,0,0
23/10/2017,69.385,0,0,0,0
24/10/2017,70.165,0,0,0,0
25/10/2017,69.187,0,0,0,0
26/10/2017,69.221,0,0,0,0
27/10/2017,68.436,0,0,0,0
28/10/2017,59.893,0,0,0,0
29/10/2017,58.489,0,0,0,0
30/10/2017,58.98,0,0,0,0
31/10/2017,67.997,0,0,0,0
01/11/2017,68.381,0,0,0,0
02/11/2017,67.581,0,0,0,0
03/11/2017,66.685,0,0,0,0
04/11/2017,58.469,0,0,0,0
05/11/2017,58.145,0,0,0,0
